feature_name,source,category,formula_or_definition,physical_reason,inference_available,uses_target,uses_identifier,recommended_status
sensor_s2_negative,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_s2_negative,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_zero_reading,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_zero_reading,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
data_quality_issue_count,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: data_quality_issue_count,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
data_quality_issue,P1_Stage1/2,Data Quality Flag,Derived parameter/flag: data_quality_issue,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
S1_minus_S2,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: S1_minus_S2,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
S1_minus_S3,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: S1_minus_S3,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
S1_minus_S4,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: S1_minus_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
S2_minus_S3,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: S2_minus_S3,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
S2_minus_S4,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: S2_minus_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
S3_minus_S4,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: S3_minus_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_mean_S1_S2_S3,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_mean_S1_S2_S3,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_median_S1_S2_S3,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_median_S1_S2_S3,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_std_S1_S2_S3,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_std_S1_S2_S3,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_mean_S1_S2_S3_S4,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_mean_S1_S2_S3_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_median_S1_S2_S3_S4,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_median_S1_S2_S3_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
sensor_std_S1_S2_S3_S4,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: sensor_std_S1_S2_S3_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
max_minus_min_sensors,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: max_minus_min_sensors,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
pairwise_abs_diff_mean,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: pairwise_abs_diff_mean,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
pairwise_abs_diff_max,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: pairwise_abs_diff_max,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Apparent_Power_kVA,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Apparent_Power_kVA,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Thermal_Loading_Index,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Thermal_Loading_Index,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Apparent_Impedance_Proxy,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Apparent_Impedance_Proxy,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S1_Expected,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Sensor_S1_Expected,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S1_Residual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S1_Residual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S1_AbsResidual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S1_AbsResidual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S2_Expected,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Sensor_S2_Expected,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S2_Residual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S2_Residual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S2_AbsResidual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S2_AbsResidual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S3_Expected,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Sensor_S3_Expected,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S3_Residual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S3_Residual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S3_AbsResidual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S3_AbsResidual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S4_Expected,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: Sensor_S4_Expected,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S4_Residual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S4_Residual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S4_AbsResidual,P1_Stage4,Sensor Residual,Derived parameter/flag: Sensor_S4_AbsResidual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
p1_max_abs_residual,P1_Stage4,Sensor Residual,Derived parameter/flag: p1_max_abs_residual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
p1_mean_abs_residual,P1_Stage4,Sensor Residual,Derived parameter/flag: p1_mean_abs_residual,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
p1_residual_error,P1_Stage4,Sensor Residual,Derived parameter/flag: p1_residual_error,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
p1_consistency_index,P1_Stage4,Sensor Residual,Derived parameter/flag: p1_consistency_index,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
p1_sensor_disagreement_index,P1_Stage4,Sensor Residual,Derived parameter/flag: p1_sensor_disagreement_index,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
p1_regime_cluster,P1_Stage4,Sensor Residual,Derived parameter/flag: p1_regime_cluster,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
