Test_ID,Actual_Validity,Supervised_Prediction,Probability_Invalid,Stage1_Quality_Issue,Stage3_Anomaly_Flag,Stage3_Anomaly_Score
TRN-0700,Valid,Valid,0.075,False,0,0.3806343801400849
TRN-0151,Valid,Valid,0.035,False,0,0.3929143099905123
TRN-0236,Valid,Valid,0.03,False,0,0.3959901447312433
TRN-0130,Valid,Valid,0.09,False,0,0.408937043434434
TRN-0558,Valid,Valid,0.12,False,0,0.4331685432841499
TRN-0335,Valid,Valid,0.07,False,0,0.4087329426370082
TRN-0747,Valid,Valid,0.17,False,0,0.4833981879189075
TRN-0065,Valid,Valid,0.08,False,0,0.4443642169839093
TRN-0257,Valid,Valid,0.05,True,1,0.6036643510029045
TRN-0443,Valid,Valid,0.135,False,0,0.411238714169133
TRN-0507,Valid,Valid,0.03,False,0,0.4356732774541824
TRN-0943,Valid,Valid,0.06,False,0,0.4151230984739849
TRN-0438,Valid,Valid,0.025,False,0,0.4659277347473071
TRN-0323,Invalid,Invalid,0.9,False,0,0.4416057752299577
TRN-0541,Valid,Valid,0.015,False,0,0.4202750081975011
TRN-0513,Valid,Valid,0.33,False,0,0.489766444717171
TRN-0830,Valid,Valid,0.265,False,0,0.4528227261784612
TRN-0124,Invalid,Invalid,0.925,False,0,0.4509155757041918
TRN-0434,Valid,Valid,0.04,True,1,0.5960467644962968
TRN-0742,Valid,Valid,0.01,False,0,0.4124974918675915
TRN-0351,Valid,Valid,0.1,False,0,0.4364610673646141
TRN-0736,Valid,Valid,0.03,False,0,0.3881232671147374
TRN-0518,Invalid,Invalid,0.775,False,0,0.4149343113253604
TRN-0097,Invalid,Invalid,0.71,False,0,0.4706281444541624
TRN-0220,Valid,Valid,0.025,False,0,0.3914033123788132
TRN-0713,Valid,Valid,0.255,False,0,0.4480763689292179
TRN-0890,Valid,Valid,0.035,False,0,0.4143412615602467
TRN-0531,Valid,Valid,0.05,False,0,0.4121750370175787
TRN-0369,Valid,Valid,0.005,False,0,0.3888361706543816
TRN-0781,Valid,Valid,0.03,False,0,0.3942293733231441
TRN-0928,Valid,Valid,0.025,False,0,0.3993617035423746
TRN-0194,Valid,Valid,0.23,False,0,0.4594509979414144
TRN-0743,Invalid,Invalid,1.0,False,0,0.494295918477819
TRN-0294,Valid,Valid,0.015,False,0,0.3944964360295029
TRN-0304,Invalid,Invalid,0.575,False,0,0.4257404453853581
TRN-0382,Valid,Valid,0.065,False,0,0.3957145439648266
TRN-0417,Valid,Valid,0.11,False,0,0.395848569127394
TRN-0297,Valid,Valid,0.12,False,0,0.4685562459336094
TRN-0622,Invalid,Invalid,0.865,False,0,0.4230527446417731
TRN-0563,Valid,Valid,0.015,False,0,0.4023981375068478
TRN-0920,Valid,Valid,0.025,True,1,0.6041905190534267
TRN-0568,Valid,Valid,0.025,False,0,0.4321180621544325
TRN-0227,Valid,Valid,0.18,False,0,0.4047582267922933
TRN-0581,Valid,Valid,0.15,False,0,0.4214893170301872
TRN-0320,Valid,Valid,0.165,False,0,0.4601772686947235
TRN-0167,Invalid,Invalid,0.78,False,1,0.5273391511464409
TRN-0450,Valid,Valid,0.035,False,0,0.4425156662359624
TRN-0287,Valid,Valid,0.145,False,0,0.4403234102645196
TRN-0650,Valid,Valid,0.04,False,0,0.4138021856777333
TRN-0901,Valid,Valid,0.04,False,0,0.3873630175564356
TRN-0031,Valid,Valid,0.15,False,0,0.4591583040796519
TRN-0199,Valid,Valid,0.025,False,0,0.4133666883798975
TRN-0630,Valid,Valid,0.005,False,0,0.3721150318738782
TRN-0605,Valid,Valid,0.065,False,0,0.413514729205509
TRN-0704,Invalid,Invalid,0.42,False,0,0.4444565250646566
TRN-0614,Valid,Valid,0.02,False,0,0.4083278113859077
TRN-0315,Valid,Valid,0.035,False,0,0.3931358860514623
TRN-0018,Invalid,Invalid,0.705,False,0,0.4443906951106259
TRN-0669,Valid,Valid,0.005,False,0,0.4077574274864929
TRN-0168,Invalid,Invalid,0.92,False,0,0.4953710253213869
TRN-0397,Valid,Valid,0.015,False,0,0.3843653802790119
TRN-0324,Valid,Valid,0.03,True,1,0.5665964588422094
TRN-0154,Invalid,Invalid,1.0,False,0,0.4865920816491763
TRN-0666,Valid,Valid,0.255,False,0,0.444392288365815
TRN-0826,Valid,Valid,0.015,False,0,0.3849358797995008
TRN-0131,Valid,Valid,0.03,False,0,0.378579803254945
TRN-0206,Valid,Valid,0.04,False,0,0.3947064880241797
TRN-0641,Valid,Valid,0.075,False,0,0.4048731120821157
TRN-0478,Valid,Valid,0.015,False,0,0.3858236210622254
TRN-0026,Valid,Valid,0.005,False,0,0.3914061430080842
TRN-0363,Valid,Valid,0.09,False,0,0.400020780076486
TRN-0430,Valid,Valid,0.06,False,0,0.3658284205956709
TRN-0936,Valid,Valid,0.045,False,0,0.4288011126456579
TRN-0129,Valid,Valid,0.05,True,1,0.5972542991331976
TRN-0688,Valid,Valid,0.05,False,0,0.3810635209022429
TRN-0157,Valid,Valid,0.07,False,0,0.3962583992664087
TRN-0422,Valid,Valid,0.075,False,0,0.4085112959249843
TRN-0561,Invalid,Valid,0.165,False,0,0.4029820165580927
TRN-0281,Valid,Valid,0.035,False,0,0.3960129404972035
TRN-0108,Invalid,Invalid,0.87,False,0,0.4381687976020473
TRN-0332,Valid,Valid,0.195,False,0,0.391864084336211
TRN-0185,Invalid,Invalid,0.995,False,0,0.482568848340409
TRN-0746,Valid,Valid,0.02,False,0,0.3969214111788237
TRN-0656,Valid,Valid,0.04,False,0,0.445192841450121
TRN-0270,Valid,Valid,0.01,False,0,0.3798883642084157
TRN-0462,Valid,Valid,0.13,False,0,0.4269940813024396
TRN-0245,Valid,Valid,0.06,False,0,0.4033883238733295
TRN-0986,Valid,Valid,0.05,False,0,0.3931585923490616
TRN-0905,Valid,Valid,0.075,False,0,0.3769144299987072
TRN-0355,Valid,Valid,0.015,False,0,0.4242675464601457
TRN-0684,Valid,Valid,0.015,False,0,0.3789496258328034
TRN-0433,Valid,Valid,0.01,False,0,0.3797153455607579
TRN-0205,Valid,Valid,0.045,False,0,0.4047102338890784
TRN-0806,Valid,Valid,0.045,False,0,0.4165266098320607
TRN-0177,Valid,Valid,0.04,False,0,0.4168719839761828
TRN-0744,Valid,Valid,0.165,False,0,0.4779990109552866
TRN-0295,Valid,Valid,0.02,False,0,0.4030228068750369
TRN-0948,Valid,Valid,0.095,False,0,0.4020678991451747
TRN-0844,Valid,Valid,0.015,False,0,0.3836505050351734
TRN-0035,Valid,Valid,0.03,False,0,0.3836542400373774
TRN-0971,Valid,Valid,0.035,False,0,0.3985497134137893
TRN-0455,Valid,Valid,0.01,False,0,0.404375230061643
TRN-0792,Valid,Valid,0.03,False,0,0.4184673271978892
TRN-0662,Valid,Valid,0.06,False,0,0.408322840126371
TRN-0266,Valid,Valid,0.005,False,0,0.3903247668537969
TRN-0326,Valid,Valid,0.165,False,0,0.4521205512719903
TRN-0173,Valid,Valid,0.025,False,0,0.4118761684177754
TRN-0473,Valid,Valid,0.03,False,0,0.3787852651384077
TRN-0759,Valid,Valid,0.05,False,0,0.380635794992511
TRN-0090,Valid,Valid,0.005,False,0,0.3857971630557084
TRN-0346,Invalid,Invalid,0.995,False,0,0.4743890011442545
TRN-0250,Valid,Valid,0.07,False,0,0.3888747236040758
TRN-0585,Valid,Valid,0.03,False,0,0.4347345998495486
TRN-0057,Valid,Valid,0.11,False,0,0.4987359111412745
TRN-0187,Valid,Valid,0.05,False,0,0.4373989078895421
TRN-0557,Invalid,Invalid,0.755,False,0,0.4551921098939849
TRN-0098,Valid,Valid,0.135,False,0,0.3732782037152538
TRN-0734,Invalid,Valid,0.165,False,0,0.4210881038083946
TRN-0718,Invalid,Invalid,0.835,True,1,0.5995444826390931
TRN-0389,Valid,Valid,0.05,False,0,0.4072093937144881
TRN-0680,Valid,Valid,0.045,False,0,0.3818915558374984
TRN-0709,Valid,Valid,0.3,False,1,0.5009364753899007
TRN-0406,Invalid,Invalid,0.875,False,0,0.4265348984660602
TRN-0496,Valid,Valid,0.06,False,0,0.4115587494589586
TRN-0500,Valid,Valid,0.01,False,0,0.3872000146429111
TRN-0238,Valid,Valid,0.0,False,0,0.4079506892262098
TRN-0494,Valid,Valid,0.075,False,0,0.3837850050799643
TRN-0597,Valid,Valid,0.01,False,0,0.4046803624846817
TRN-0749,Valid,Valid,0.025,False,0,0.3664316218327174
TRN-0973,Valid,Valid,0.05,False,0,0.386944264749071
TRN-0995,Valid,Valid,0.03,True,1,0.5997460870254705
TRN-0420,Valid,Valid,0.25,False,0,0.3996460153235058
TRN-0621,Valid,Valid,0.115,False,0,0.4300968774075628
TRN-0128,Valid,Valid,0.11,False,0,0.426742761291606
TRN-0436,Valid,Valid,0.07,False,0,0.4590731257224112
TRN-0733,Valid,Valid,0.15,False,0,0.4112513036316236
TRN-0451,Valid,Valid,0.015,False,0,0.4148357877085876
TRN-0061,Valid,Valid,0.065,False,0,0.4115483684504217
TRN-0051,Valid,Valid,0.065,False,1,0.5110138762591918
TRN-0093,Valid,Valid,0.075,False,0,0.3989475124731405
TRN-0457,Valid,Valid,0.015,False,0,0.3924527659715932
TRN-0939,Valid,Valid,0.015,False,0,0.37286538206503
TRN-0872,Invalid,Invalid,0.815,True,1,0.6011653187169318
TRN-0652,Invalid,Invalid,0.85,False,1,0.6323339622676535
TRN-0084,Valid,Valid,0.095,False,0,0.4108198820514477
TRN-0461,Valid,Valid,0.06,False,0,0.4090230133441176
TRN-0615,Valid,Valid,0.015,False,0,0.3840977984061205
TRN-0828,Valid,Valid,0.055,True,1,0.6010261671356243
TRN-0082,Valid,Valid,0.045,False,0,0.3823620944906733
TRN-0969,Valid,Valid,0.03,True,1,0.613178060275066
TRN-0675,Valid,Valid,0.005,False,0,0.4023415004361756
TRN-0458,Invalid,Invalid,0.935,False,0,0.4181332935741756
TRN-0190,Valid,Valid,0.015,False,0,0.4645338074228416
TRN-0202,Invalid,Invalid,0.825,False,1,0.5025372348621456
TRN-0068,Valid,Valid,0.035,False,0,0.4130430209666783
TRN-0214,Valid,Valid,0.345,False,0,0.4176418896439908
TRN-0477,Valid,Valid,0.025,False,0,0.4108648253887451
TRN-0394,Valid,Valid,0.02,False,0,0.4071882164735775
TRN-0530,Valid,Valid,0.125,False,0,0.4022606646901568
TRN-0037,Valid,Valid,0.31,False,0,0.4216205022085087
TRN-0267,Invalid,Invalid,0.995,False,1,0.5021828931306913
TRN-0440,Valid,Valid,0.04,False,0,0.4238575619935951
TRN-0697,Valid,Valid,0.025,False,0,0.3804466417509746
TRN-0974,Valid,Valid,0.01,False,0,0.3815745490498756
TRN-0869,Valid,Valid,0.075,False,0,0.4007364762236069
TRN-0025,Invalid,Invalid,0.83,False,0,0.4412190150800238
TRN-0523,Invalid,Invalid,0.845,False,0,0.4926012512878046
TRN-0172,Valid,Valid,0.01,False,0,0.3919019909383017
TRN-0723,Valid,Valid,0.025,False,0,0.3923662366403156
TRN-0041,Valid,Valid,0.02,False,0,0.3903824702386551
TRN-0958,Valid,Valid,0.0,False,0,0.3884834767473948
TRN-0364,Valid,Valid,0.03,False,0,0.4132159367894791
TRN-0553,Valid,Valid,0.02,False,0,0.4069155486647732
TRN-0253,Valid,Valid,0.095,False,0,0.4709766211786633
TRN-0566,Valid,Valid,0.015,False,0,0.3905041070924273
TRN-0777,Valid,Valid,0.215,False,0,0.4504068762088208
TRN-0485,Valid,Valid,0.025,False,0,0.4216928270037821
TRN-0076,Invalid,Valid,0.29,False,0,0.4728468755254156
TRN-0234,Valid,Valid,0.045,False,0,0.4448988448791495
TRN-0176,Valid,Valid,0.025,False,0,0.3967150178077342
TRN-0931,Valid,Valid,0.035,False,0,0.4048300095998208
TRN-0945,Invalid,Invalid,0.995,False,0,0.4783420804176251
TRN-0715,Valid,Valid,0.015,False,0,0.3843035687900525
TRN-0103,Valid,Valid,0.005,False,0,0.3890069594429972
TRN-0522,Valid,Valid,0.23,False,0,0.3871145950940961
TRN-0612,Valid,Valid,0.085,False,0,0.4398848170530395
TRN-0706,Valid,Valid,0.04,False,0,0.3943979274741181
TRN-0409,Valid,Valid,0.04,False,0,0.4312588180339388
TRN-0741,Valid,Valid,0.155,False,0,0.4010524727535244
TRN-0162,Valid,Valid,0.135,False,1,0.5102425190858146
TRN-0980,Valid,Valid,0.085,False,0,0.4757305063293254
TRN-0072,Valid,Valid,0.055,False,0,0.4305761457279973
TRN-0670,Valid,Valid,0.04,False,0,0.3858143178037742
TRN-0884,Valid,Valid,0.04,False,0,0.3757090919967178
TRN-0765,Invalid,Invalid,0.965,False,0,0.4315240101485965
TRN-0208,Valid,Valid,0.01,False,0,0.4012120984739791
TRN-0116,Valid,Valid,0.05,False,0,0.3788004835125355
TRN-0807,Valid,Valid,0.01,False,0,0.3830759101738761
TRN-0515,Valid,Valid,0.06,False,0,0.4521797473312995
TRN-0771,Valid,Valid,0.015,False,0,0.3991158346323291
TRN-0252,Valid,Valid,0.02,False,0,0.4410137503369384
TRN-0762,Valid,Valid,0.095,False,1,0.5014556511834051
TRN-0722,Valid,Valid,0.02,False,0,0.3904253947724681
TRN-0309,Valid,Valid,0.06,False,0,0.4525614739676246
TRN-0454,Valid,Valid,0.065,False,0,0.3759555209630342
TRN-0312,Valid,Valid,0.18,False,0,0.4187391764206588
TRN-0191,Valid,Valid,0.03,False,0,0.3852325839247112
TRN-0913,Valid,Valid,0.005,False,0,0.4117935410244988
TRN-0426,Valid,Valid,0.03,False,0,0.3982995876974947
TRN-0286,Valid,Valid,0.02,False,0,0.4194059084126001
TRN-0400,Valid,Valid,0.03,False,0,0.3768190353127227
TRN-0498,Valid,Valid,0.105,False,0,0.4951650509336625
TRN-0379,Valid,Valid,0.01,False,0,0.4040376456229798
TRN-0120,Invalid,Invalid,0.86,True,1,0.6140350278740097
TRN-0062,Valid,Valid,0.025,False,0,0.4140606574701608
TRN-0216,Valid,Valid,0.035,False,0,0.4507181905709948
TRN-0246,Valid,Valid,0.135,False,0,0.4576517512628096
TRN-0303,Valid,Valid,0.005,False,0,0.378216938470847
TRN-0213,Valid,Valid,0.08,False,0,0.4553173475710619
TRN-0156,Valid,Valid,0.005,False,0,0.3740919214811556
TRN-0703,Valid,Valid,0.005,False,0,0.3841582269406473
TRN-0702,Valid,Valid,0.085,False,0,0.4121021014241081
TRN-0784,Valid,Valid,0.07,False,0,0.4177428005373911
TRN-0929,Invalid,Invalid,0.73,False,0,0.4825341220877767
TRN-0997,Valid,Valid,0.01,False,0,0.3918590147586874
TRN-0368,Valid,Valid,0.0,False,0,0.3894214977743344
TRN-0015,Valid,Valid,0.065,False,0,0.4187737541768748
TRN-0342,Valid,Valid,0.005,False,0,0.3904228417126715
TRN-0435,Valid,Valid,0.05,False,0,0.4024862890583152
TRN-0219,Valid,Valid,0.065,False,0,0.4206030099393815
TRN-0863,Valid,Valid,0.05,False,0,0.4732529931338193
TRN-0217,Invalid,Valid,0.27,False,0,0.4077961262495856
TRN-0791,Valid,Valid,0.005,False,0,0.371706508157357
TRN-0993,Valid,Invalid,0.48,False,0,0.4757472684512215
TRN-0481,Valid,Valid,0.135,False,0,0.4971257092823047
TRN-0237,Valid,Valid,0.045,False,0,0.4157737506704456
TRN-0424,Valid,Valid,0.095,False,0,0.4164017017173267
TRN-0224,Valid,Valid,0.025,False,0,0.3821110270915632
TRN-0024,Valid,Valid,0.045,True,1,0.5792390846498048
TRN-0761,Valid,Valid,0.025,False,0,0.4504575243057517
TRN-0551,Invalid,Invalid,0.91,False,0,0.4835546208986874
TRN-0768,Invalid,Invalid,0.81,True,1,0.6345693508577601
TRN-0109,Valid,Valid,0.115,False,0,0.422759772549937
TRN-0873,Valid,Valid,0.0,False,0,0.384565266595035
TRN-0589,Invalid,Invalid,0.99,False,0,0.4994208702028235
TRN-0203,Invalid,Invalid,0.825,False,1,0.5532235960748851
TRN-0963,Valid,Valid,0.065,False,0,0.4370029136379872
TRN-0445,Valid,Valid,0.03,False,0,0.3657038364430821
TRN-0935,Invalid,Valid,0.125,False,0,0.4109959225143957
TRN-0415,Valid,Valid,0.03,False,0,0.4050088108438555
TRN-0209,Invalid,Invalid,0.995,False,1,0.5227489520282429
TRN-0544,Valid,Valid,0.045,False,0,0.4315253149161018
TRN-0111,Valid,Valid,0.04,False,0,0.414753364635042
TRN-0526,Valid,Valid,0.08,False,0,0.4125310533195024
TRN-0940,Valid,Valid,0.025,False,0,0.4260899843771537
TRN-0838,Valid,Valid,0.19,False,1,0.5213464298211284
TRN-0708,Valid,Valid,0.01,False,0,0.3906798949296697
TRN-0075,Valid,Valid,0.025,False,0,0.4013868794245593
TRN-0321,Invalid,Invalid,0.88,False,0,0.4922454120711128
TRN-0867,Valid,Valid,0.04,True,1,0.5998660031572843
TRN-0416,Valid,Valid,0.045,True,1,0.595804035065085
TRN-0188,Valid,Valid,0.035,True,1,0.6362341099583717
TRN-0050,Valid,Valid,0.035,False,0,0.4040585960663365
TRN-0150,Valid,Valid,0.04,False,0,0.3886748983104297
TRN-0142,Valid,Valid,0.04,False,0,0.3862042817472694
TRN-0133,Valid,Valid,0.1,False,0,0.4608774917887145
TRN-0906,Valid,Valid,0.005,False,0,0.4001685212413322
TRN-0894,Valid,Valid,0.21,False,0,0.4204093729093255
TRN-0944,Invalid,Invalid,0.705,True,1,0.5347599320260555
TRN-0030,Valid,Valid,0.045,False,0,0.4309706218745338
TRN-0302,Valid,Valid,0.03,False,0,0.3794069231735583
TRN-0623,Invalid,Invalid,0.995,False,1,0.5254743400744656
TRN-0230,Valid,Valid,0.095,False,0,0.3772943873690739
TRN-0060,Valid,Valid,0.07,False,0,0.4529334212747115
TRN-0546,Valid,Valid,0.045,False,0,0.4160863902031421
TRN-0210,Valid,Valid,0.015,False,0,0.4552186123387857
TRN-0893,Valid,Valid,0.055,False,1,0.5098092910368589
TRN-0797,Invalid,Invalid,0.765,True,1,0.5686450750464163
TRN-0482,Valid,Valid,0.015,False,0,0.4098762039248472
TRN-0469,Valid,Valid,0.135,False,0,0.4815882502834779
TRN-0078,Valid,Valid,0.31,False,1,0.5283006345863172
TRN-0240,Valid,Valid,0.115,False,0,0.3834609063699414
TRN-0787,Valid,Valid,0.015,False,0,0.385858375951378
TRN-0658,Valid,Valid,0.1,False,0,0.4354758865828907
TRN-0243,Valid,Valid,0.065,False,0,0.4308593901641297
TRN-0506,Valid,Valid,0.005,False,0,0.4028344480475884
TRN-0732,Valid,Valid,0.13,False,0,0.4704833480099304
TRN-0489,Valid,Valid,0.01,False,0,0.4084686178724088
TRN-0842,Valid,Valid,0.02,False,0,0.4238331372384127
TRN-0988,Valid,Valid,0.045,False,0,0.4112779582742777
TRN-0721,Valid,Valid,0.04,False,0,0.4070095277494673
TRN-0646,Invalid,Invalid,0.405,False,0,0.4506704746889884
TRN-0681,Valid,Valid,0.04,False,0,0.394946519738084
TRN-0137,Invalid,Invalid,0.685,False,0,0.4392514642233071
TRN-0474,Valid,Valid,0.045,False,0,0.3792448859443361
TRN-0793,Invalid,Invalid,0.87,True,1,0.5784606776227973
TRN-0300,Valid,Valid,0.035,False,0,0.4570924774388987
TRN-0096,Valid,Valid,0.01,False,0,0.3830893685648732
TRN-0399,Valid,Valid,0.09,False,1,0.5107876141684159
TRN-0392,Valid,Valid,0.01,False,0,0.4004805669650031
TRN-0922,Valid,Valid,0.085,False,0,0.3939634705716801
TRN-0674,Valid,Valid,0.09,False,0,0.4680885061167851
TRN-0805,Invalid,Invalid,0.995,False,0,0.4865920816491763
TRN-0849,Valid,Valid,0.0,False,0,0.3942942476464102
TRN-0720,Valid,Valid,0.155,False,0,0.4303596959861122
TRN-0244,Valid,Valid,0.09,False,0,0.4539012715797609
TRN-0584,Valid,Valid,0.02,False,0,0.4152657293951361
TRN-0393,Valid,Valid,0.03,False,0,0.3957262768261789
TRN-0046,Valid,Valid,0.005,False,0,0.3971399901936996
TRN-0055,Valid,Valid,0.035,False,0,0.4467902493051285
TRN-0040,Invalid,Invalid,0.78,False,0,0.4667804859046144
TRN-0604,Invalid,Invalid,0.84,False,0,0.4349379595992053
TRN-0383,Valid,Valid,0.03,True,1,0.5727160781320835
TRN-0631,Invalid,Invalid,0.785,True,1,0.5428172756677613
TRN-0596,Valid,Valid,0.065,True,1,0.6120432731284882
TRN-0954,Valid,Valid,0.085,False,0,0.3985103316164666
TRN-0069,Invalid,Invalid,0.825,False,1,0.5048681806855528
TRN-0195,Valid,Valid,0.015,False,0,0.3810807980219943
TRN-0104,Valid,Valid,0.015,False,0,0.3808870551943072
TRN-0751,Valid,Valid,0.04,False,0,0.3901031991283864
TRN-0537,Valid,Valid,0.02,False,0,0.3855217813349786
TRN-0348,Valid,Valid,0.03,False,0,0.3794484694138293
TRN-0730,Valid,Valid,0.095,False,0,0.4219408940511887
TRN-0961,Valid,Valid,0.035,False,0,0.3775455758583215
TRN-0818,Valid,Valid,0.13,False,0,0.4354607996003279
TRN-0794,Valid,Valid,0.055,False,0,0.4156274970187206
TRN-0488,Valid,Valid,0.065,False,0,0.4810105673538967
TRN-0577,Valid,Valid,0.045,False,0,0.39393714108218
TRN-0388,Valid,Valid,0.065,False,0,0.3866308557308992
TRN-0490,Invalid,Invalid,0.795,False,0,0.4607254329885221
TRN-0774,Valid,Valid,0.03,False,0,0.3788396233402236
TRN-0590,Valid,Valid,0.06,False,0,0.4055549257893831
TRN-0968,Invalid,Invalid,0.945,False,0,0.4734008781404009
TRN-0601,Valid,Valid,0.005,False,0,0.4074362977273957
TRN-0694,Valid,Valid,0.03,False,0,0.3794495765882508
TRN-0996,Valid,Valid,0.085,False,0,0.4303504808590534
TRN-0550,Valid,Valid,0.035,False,0,0.4695462674515983
TRN-0362,Valid,Valid,0.02,False,0,0.3826211291761048
TRN-0403,Valid,Valid,0.015,False,0,0.3779829264994368
TRN-0895,Valid,Valid,0.015,False,0,0.4134839454815453
TRN-0710,Valid,Valid,0.06,False,0,0.4040849558853766
TRN-0081,Invalid,Invalid,0.92,False,0,0.4953710253213869
TRN-0505,Valid,Valid,0.02,False,0,0.3906829904680197
TRN-0671,Valid,Valid,0.03,True,1,0.5887283179485441
TRN-0923,Valid,Valid,0.03,False,0,0.4177656385928335
TRN-0456,Valid,Valid,0.03,False,0,0.4050845407558262
TRN-0864,Valid,Valid,0.13,False,0,0.4041702462242242
TRN-0728,Valid,Valid,0.085,False,0,0.4037992930826487
TRN-0795,Valid,Valid,0.14,False,0,0.4813605619362306
TRN-0339,Valid,Valid,0.01,False,0,0.3992618150266174
TRN-0755,Invalid,Invalid,0.85,False,0,0.45002975803301
TRN-0926,Valid,Valid,0.03,False,0,0.4367296183927608
TRN-0340,Valid,Valid,0.03,False,0,0.3784426667219037
TRN-0624,Valid,Valid,0.04,False,0,0.405587696228336
TRN-0985,Valid,Valid,0.125,False,0,0.4424842953990597
TRN-0860,Valid,Valid,0.045,False,0,0.4011165191273476
TRN-0560,Valid,Valid,0.13,False,0,0.4005115033810989
TRN-0811,Valid,Valid,0.08,False,0,0.4492752376347348
TRN-0395,Valid,Valid,0.005,False,0,0.3757028186850766
TRN-0839,Invalid,Invalid,0.945,False,0,0.414859758584839
TRN-0779,Valid,Valid,0.015,False,0,0.3969876719230607
TRN-0543,Valid,Valid,0.155,False,0,0.4923548038732113
TRN-0158,Valid,Valid,0.035,False,0,0.4000725885408394
TRN-0799,Valid,Valid,0.005,False,0,0.4033033787048629
TRN-0946,Valid,Valid,0.04,False,0,0.4157401604075522
TRN-0927,Invalid,Invalid,0.995,False,1,0.5227489520282429
TRN-0952,Valid,Valid,0.04,False,0,0.4017157023522945
TRN-0608,Valid,Valid,0.045,False,0,0.4255086744091061
TRN-0212,Valid,Valid,0.02,False,0,0.4225117656637885
TRN-0480,Valid,Valid,0.01,False,0,0.3871940969792041
TRN-0904,Valid,Valid,0.03,False,0,0.4418488239541165
TRN-0607,Valid,Valid,0.085,False,0,0.4602481122218191
TRN-0855,Valid,Valid,0.28,False,0,0.3898289321363448
TRN-0879,Valid,Valid,0.045,False,0,0.4186059467677751
TRN-0667,Valid,Valid,0.045,True,1,0.5886923253974269
TRN-0232,Valid,Valid,0.07,False,0,0.4620882359367407
TRN-0299,Valid,Valid,0.175,False,0,0.4127651326761025
TRN-0629,Valid,Valid,0.035,False,0,0.4017016390254048
TRN-0858,Valid,Valid,0.165,False,0,0.4570737367516713
TRN-0994,Valid,Valid,0.005,False,0,0.4158837661098609
TRN-0306,Valid,Valid,0.025,False,0,0.4049217251954618
TRN-0654,Valid,Valid,0.02,False,0,0.393372496181918
TRN-0917,Valid,Valid,0.005,False,0,0.3874085817778933
TRN-0231,Valid,Valid,0.03,False,0,0.3949465403548346
