Test_ID,Actual_Validity,Actual_Binary,Supervised_Prediction,Supervised_Binary,Supervised_Probability_Invalid,IsolationForest_Score,IsolationForest_Flag,LOF_Score,LOF_Flag,Agreement_Group
TRN-0087,Invalid,1,Invalid,1,0.83,0.44860605622519817,0,1.3362401633217842,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0801,Valid,0,Valid,0,0.1,0.4119862219904853,0,1.0804250582252535,0,Group 4 (Both Valid/Normal)
TRN-0012,Valid,0,Valid,0,0.05,0.40648385856193303,0,0.9852740058603574,0,Group 4 (Both Valid/Normal)
TRN-0578,Valid,0,Valid,0,0.05,0.40972053937183434,0,1.008494684889384,0,Group 4 (Both Valid/Normal)
TRN-0859,Valid,0,Valid,0,0.33,0.43128557791031363,0,1.1489198230369504,0,Group 4 (Both Valid/Normal)
TRN-0533,Invalid,1,Invalid,1,0.86,0.5295215093299227,1,1.1792130563081935,0,Group 1 (Both Invalid/Anomalous)
TRN-0967,Valid,0,Valid,0,0.07,0.3823287511349769,0,0.9910658166595004,0,Group 4 (Both Valid/Normal)
TRN-0788,Valid,0,Valid,0,0.22,0.3939657045100439,0,1.065469882277704,0,Group 4 (Both Valid/Normal)
TRN-0700,Valid,0,Valid,0,0.07,0.3806343801400849,0,0.9905997040213312,0,Group 4 (Both Valid/Normal)
TRN-0151,Valid,0,Valid,0,0.06,0.3929143099905123,0,1.0020647447795972,0,Group 4 (Both Valid/Normal)
TRN-0236,Valid,0,Valid,0,0.06,0.3959901447312433,0,1.0505715647636347,0,Group 4 (Both Valid/Normal)
TRN-0130,Valid,0,Valid,0,0.16,0.408937043434434,0,1.021464086187628,0,Group 4 (Both Valid/Normal)
TRN-0558,Valid,0,Valid,0,0.17,0.43316854328414994,0,1.0335058777011574,0,Group 4 (Both Valid/Normal)
TRN-0335,Valid,0,Valid,0,0.06,0.40873294263700827,0,1.0112080674363908,0,Group 4 (Both Valid/Normal)
TRN-0747,Valid,0,Valid,0,0.21,0.4833981879189075,0,1.0227555485979412,0,Group 4 (Both Valid/Normal)
TRN-0065,Valid,0,Valid,0,0.17,0.4443642169839093,0,1.016409776992588,0,Group 4 (Both Valid/Normal)
TRN-0257,Valid,0,Valid,0,0.16,0.6036643510029045,1,0.9911474228987798,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0443,Valid,0,Valid,0,0.08,0.41123871416913305,0,1.059448443146958,0,Group 4 (Both Valid/Normal)
TRN-0507,Valid,0,Valid,0,0.05,0.4356732774541824,0,1.0468701331433654,0,Group 4 (Both Valid/Normal)
TRN-0943,Valid,0,Valid,0,0.04,0.4151230984739849,0,1.0159558202005265,0,Group 4 (Both Valid/Normal)
TRN-0438,Valid,0,Valid,0,0.09,0.46592773474730714,0,1.0749779885293902,0,Group 4 (Both Valid/Normal)
TRN-0323,Invalid,1,Invalid,1,0.67,0.44160577522995775,0,1.1421370521980236,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0541,Valid,0,Valid,0,0.02,0.4202750081975011,0,0.9662679184154227,0,Group 4 (Both Valid/Normal)
TRN-0513,Valid,0,Valid,0,0.39,0.48976644471717107,0,1.1320137190060866,0,Group 4 (Both Valid/Normal)
TRN-0830,Valid,0,Valid,0,0.28,0.45282272617846125,0,0.9827695822619221,0,Group 4 (Both Valid/Normal)
TRN-0124,Invalid,1,Invalid,1,0.82,0.45091557570419183,0,1.4629776972754807,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0434,Valid,0,Valid,0,0.23,0.5960467644962968,1,0.9738764497103748,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0742,Valid,0,Valid,0,0.05,0.41249749186759155,0,1.0456548132828363,0,Group 4 (Both Valid/Normal)
TRN-0351,Valid,0,Valid,0,0.07,0.43646106736461415,0,1.101797671178879,0,Group 4 (Both Valid/Normal)
TRN-0736,Valid,0,Valid,0,0.07,0.38812326711473744,0,1.0158748941182405,0,Group 4 (Both Valid/Normal)
TRN-0518,Invalid,1,Valid,0,0.23,0.41493431132536046,0,1.2952249255329351,0,Group 4 (Both Valid/Normal)
TRN-0097,Invalid,1,Invalid,1,0.61,0.47062814445416246,0,1.250303633591773,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0220,Valid,0,Valid,0,0.11,0.39140331237881326,0,0.9791470412972634,0,Group 4 (Both Valid/Normal)
TRN-0713,Valid,0,Valid,0,0.26,0.4480763689292179,0,1.048403423078823,0,Group 4 (Both Valid/Normal)
TRN-0890,Valid,0,Valid,0,0.06,0.41434126156024675,0,1.026254592426662,0,Group 4 (Both Valid/Normal)
TRN-0531,Valid,0,Valid,0,0.09,0.41217503701757874,0,1.0277899028390707,0,Group 4 (Both Valid/Normal)
TRN-0369,Valid,0,Valid,0,0.08,0.3888361706543816,0,1.0359569307008478,0,Group 4 (Both Valid/Normal)
TRN-0781,Valid,0,Valid,0,0.04,0.3942293733231441,0,1.0021145304320833,0,Group 4 (Both Valid/Normal)
TRN-0928,Valid,0,Valid,0,0.05,0.39936170354237466,0,0.9858237334955053,0,Group 4 (Both Valid/Normal)
TRN-0194,Valid,0,Valid,0,0.21,0.4594509979414144,0,1.0885185223554026,0,Group 4 (Both Valid/Normal)
TRN-0743,Invalid,1,Invalid,1,1.0,0.494295918477819,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0294,Valid,0,Valid,0,0.05,0.3944964360295029,0,0.9667949474825395,0,Group 4 (Both Valid/Normal)
TRN-0304,Invalid,1,Valid,0,0.43,0.42574044538535816,0,1.1237721961364138,0,Group 4 (Both Valid/Normal)
TRN-0382,Valid,0,Valid,0,0.06,0.3957145439648266,0,0.9940211760386377,0,Group 4 (Both Valid/Normal)
TRN-0417,Valid,0,Valid,0,0.09,0.395848569127394,0,0.9893115478675348,0,Group 4 (Both Valid/Normal)
TRN-0297,Valid,0,Valid,0,0.13,0.4685562459336094,0,1.174741243302767,0,Group 4 (Both Valid/Normal)
TRN-0622,Invalid,1,Valid,0,0.47,0.42305274464177317,0,1.173421919276836,0,Group 4 (Both Valid/Normal)
TRN-0563,Valid,0,Valid,0,0.04,0.40239813750684783,0,1.0527882010971998,0,Group 4 (Both Valid/Normal)
TRN-0920,Valid,0,Valid,0,0.38,0.6041905190534267,1,0.9838847663006209,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0568,Valid,0,Valid,0,0.11,0.4321180621544325,0,1.0671533461837788,0,Group 4 (Both Valid/Normal)
TRN-0227,Valid,0,Valid,0,0.13,0.40475822679229334,0,1.0006165897682568,0,Group 4 (Both Valid/Normal)
TRN-0581,Valid,0,Valid,0,0.12,0.4214893170301872,0,1.0824332400105052,0,Group 4 (Both Valid/Normal)
TRN-0320,Valid,0,Valid,0,0.28,0.46017726869472353,0,1.1548742868382358,0,Group 4 (Both Valid/Normal)
TRN-0167,Invalid,1,Valid,0,0.35,0.5273391511464409,1,1.3454471236951857,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0450,Valid,0,Valid,0,0.07,0.4425156662359624,0,1.0819425470192379,0,Group 4 (Both Valid/Normal)
TRN-0287,Valid,0,Valid,0,0.22,0.4403234102645196,0,1.0117176718261098,0,Group 4 (Both Valid/Normal)
TRN-0650,Valid,0,Valid,0,0.06,0.41380218567773336,0,1.0275229800434278,0,Group 4 (Both Valid/Normal)
TRN-0901,Valid,0,Valid,0,0.09,0.38736301755643565,0,0.9996854792111476,0,Group 4 (Both Valid/Normal)
TRN-0031,Valid,0,Valid,0,0.16,0.4591583040796519,0,1.1413730979146066,0,Group 4 (Both Valid/Normal)
TRN-0199,Valid,0,Valid,0,0.08,0.41336668837989754,0,1.017105903450838,0,Group 4 (Both Valid/Normal)
TRN-0630,Valid,0,Valid,0,0.02,0.3721150318738782,0,0.9672719501115669,0,Group 4 (Both Valid/Normal)
TRN-0605,Valid,0,Valid,0,0.06,0.413514729205509,0,1.0631914526065287,0,Group 4 (Both Valid/Normal)
TRN-0704,Invalid,1,Valid,0,0.35,0.4444565250646566,0,1.3608005955862974,0,Group 4 (Both Valid/Normal)
TRN-0614,Valid,0,Valid,0,0.06,0.4083278113859077,0,1.0218999769861183,0,Group 4 (Both Valid/Normal)
TRN-0315,Valid,0,Valid,0,0.05,0.3931358860514623,0,1.010843856284233,0,Group 4 (Both Valid/Normal)
TRN-0018,Invalid,1,Valid,0,0.35,0.44439069511062596,0,1.1906367890257386,0,Group 4 (Both Valid/Normal)
TRN-0669,Valid,0,Valid,0,0.02,0.4077574274864929,0,1.037930199542158,0,Group 4 (Both Valid/Normal)
TRN-0168,Invalid,1,Invalid,1,0.93,0.49537102532138694,0,0.9790744866077254,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0397,Valid,0,Valid,0,0.0,0.3843653802790119,0,0.9729612164142555,0,Group 4 (Both Valid/Normal)
TRN-0324,Valid,0,Valid,0,0.33,0.5665964588422094,1,0.9734516514305739,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0154,Invalid,1,Invalid,1,1.0,0.4865920816491763,0,0.9790744866077257,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0666,Valid,0,Valid,0,0.09,0.444392288365815,0,1.121843962385416,0,Group 4 (Both Valid/Normal)
TRN-0826,Valid,0,Valid,0,0.02,0.38493587979950084,0,0.9693992710515381,0,Group 4 (Both Valid/Normal)
TRN-0131,Valid,0,Valid,0,0.02,0.378579803254945,0,0.963725019372886,0,Group 4 (Both Valid/Normal)
TRN-0206,Valid,0,Valid,0,0.05,0.39470648802417974,0,1.000151259475536,0,Group 4 (Both Valid/Normal)
TRN-0641,Valid,0,Valid,0,0.07,0.4048731120821157,0,1.0079946970861997,0,Group 4 (Both Valid/Normal)
TRN-0478,Valid,0,Valid,0,0.04,0.38582362106222545,0,0.9714797031176599,0,Group 4 (Both Valid/Normal)
TRN-0026,Valid,0,Valid,0,0.02,0.3914061430080842,0,1.022111783850424,0,Group 4 (Both Valid/Normal)
TRN-0363,Valid,0,Valid,0,0.03,0.400020780076486,0,1.0094198235980005,0,Group 4 (Both Valid/Normal)
TRN-0430,Valid,0,Valid,0,0.07,0.36582842059567094,0,0.974730420121402,0,Group 4 (Both Valid/Normal)
TRN-0936,Valid,0,Valid,0,0.2,0.42880111264565796,0,1.0514877832437466,0,Group 4 (Both Valid/Normal)
TRN-0129,Valid,0,Valid,0,0.33,0.5972542991331976,1,0.9765570046210599,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0688,Valid,0,Valid,0,0.07,0.38106352090224294,0,1.0007850344205864,0,Group 4 (Both Valid/Normal)
TRN-0157,Valid,0,Valid,0,0.08,0.39625839926640877,0,1.0147460829823527,0,Group 4 (Both Valid/Normal)
TRN-0422,Valid,0,Valid,0,0.11,0.40851129592498436,0,1.0412547586140293,0,Group 4 (Both Valid/Normal)
TRN-0561,Invalid,1,Valid,0,0.28,0.4029820165580927,0,1.0742061696293224,0,Group 4 (Both Valid/Normal)
TRN-0281,Valid,0,Valid,0,0.0,0.39601294049720354,0,1.016485225014287,0,Group 4 (Both Valid/Normal)
TRN-0108,Invalid,1,Valid,0,0.36,0.4381687976020473,0,1.3003373961542795,0,Group 4 (Both Valid/Normal)
TRN-0332,Valid,0,Valid,0,0.16,0.39186408433621106,0,1.0271752844420838,0,Group 4 (Both Valid/Normal)
TRN-0185,Invalid,1,Invalid,1,1.0,0.482568848340409,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0746,Valid,0,Valid,0,0.03,0.39692141117882374,0,0.9855167951749897,0,Group 4 (Both Valid/Normal)
TRN-0656,Valid,0,Valid,0,0.05,0.445192841450121,0,1.111536827860308,0,Group 4 (Both Valid/Normal)
TRN-0270,Valid,0,Valid,0,0.02,0.37988836420841576,0,0.9867215474516218,0,Group 4 (Both Valid/Normal)
TRN-0462,Valid,0,Valid,0,0.11,0.4269940813024396,0,0.9958580089351591,0,Group 4 (Both Valid/Normal)
TRN-0245,Valid,0,Valid,0,0.08,0.4033883238733295,0,0.9945864459344318,0,Group 4 (Both Valid/Normal)
TRN-0986,Valid,0,Valid,0,0.12,0.39315859234906164,0,1.0197656215274806,0,Group 4 (Both Valid/Normal)
TRN-0905,Valid,0,Valid,0,0.07,0.3769144299987072,0,1.011570355502864,0,Group 4 (Both Valid/Normal)
TRN-0355,Valid,0,Valid,0,0.08,0.42426754646014575,0,1.0513724154097888,0,Group 4 (Both Valid/Normal)
TRN-0684,Valid,0,Valid,0,0.01,0.37894962583280345,0,0.9771318260008746,0,Group 4 (Both Valid/Normal)
TRN-0433,Valid,0,Valid,0,0.06,0.3797153455607579,0,0.9681252279717333,0,Group 4 (Both Valid/Normal)
TRN-0205,Valid,0,Valid,0,0.11,0.40471023388907845,0,1.048240733619431,0,Group 4 (Both Valid/Normal)
TRN-0806,Valid,0,Valid,0,0.11,0.41652660983206075,0,1.0378301586089325,0,Group 4 (Both Valid/Normal)
TRN-0177,Valid,0,Valid,0,0.04,0.4168719839761828,0,1.0155025051040139,0,Group 4 (Both Valid/Normal)
TRN-0744,Valid,0,Valid,0,0.23,0.4779990109552866,0,1.1823301249497633,0,Group 4 (Both Valid/Normal)
TRN-0295,Valid,0,Valid,0,0.08,0.4030228068750369,0,1.0061189496548533,0,Group 4 (Both Valid/Normal)
TRN-0948,Valid,0,Valid,0,0.18,0.4020678991451747,0,1.0423866339845838,0,Group 4 (Both Valid/Normal)
TRN-0844,Valid,0,Valid,0,0.07,0.38365050503517345,0,0.9806307237478908,0,Group 4 (Both Valid/Normal)
TRN-0035,Valid,0,Valid,0,0.02,0.3836542400373774,0,0.9990536110034233,0,Group 4 (Both Valid/Normal)
TRN-0971,Valid,0,Valid,0,0.2,0.3985497134137893,0,1.0124972991275951,0,Group 4 (Both Valid/Normal)
TRN-0455,Valid,0,Valid,0,0.04,0.404375230061643,0,0.9815740051250341,0,Group 4 (Both Valid/Normal)
TRN-0792,Valid,0,Valid,0,0.05,0.4184673271978892,0,1.0499304129371747,0,Group 4 (Both Valid/Normal)
TRN-0662,Valid,0,Valid,0,0.01,0.40832284012637104,0,0.9947861849098798,0,Group 4 (Both Valid/Normal)
TRN-0266,Valid,0,Valid,0,0.04,0.3903247668537969,0,0.997343931204103,0,Group 4 (Both Valid/Normal)
TRN-0326,Valid,0,Valid,0,0.13,0.4521205512719903,0,1.045258575299665,0,Group 4 (Both Valid/Normal)
TRN-0173,Valid,0,Valid,0,0.03,0.4118761684177754,0,0.9767777403089457,0,Group 4 (Both Valid/Normal)
TRN-0473,Valid,0,Valid,0,0.03,0.3787852651384077,0,0.9907975320273696,0,Group 4 (Both Valid/Normal)
TRN-0759,Valid,0,Valid,0,0.02,0.380635794992511,0,0.9677157578916422,0,Group 4 (Both Valid/Normal)
TRN-0090,Valid,0,Valid,0,0.03,0.38579716305570844,0,1.0053238646231502,0,Group 4 (Both Valid/Normal)
TRN-0346,Invalid,1,Invalid,1,1.0,0.47438900114425453,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0250,Valid,0,Valid,0,0.16,0.3888747236040758,0,1.0745447284693495,0,Group 4 (Both Valid/Normal)
TRN-0585,Valid,0,Valid,0,0.06,0.4347345998495486,0,1.079943085310142,0,Group 4 (Both Valid/Normal)
TRN-0057,Valid,0,Valid,0,0.02,0.4987359111412745,0,1.267160145752563,0,Group 4 (Both Valid/Normal)
TRN-0187,Valid,0,Valid,0,0.11,0.4373989078895421,0,0.9954187344524259,0,Group 4 (Both Valid/Normal)
TRN-0557,Invalid,1,Valid,0,0.46,0.45519210989398495,0,1.3363285957639766,0,Group 4 (Both Valid/Normal)
TRN-0098,Valid,0,Valid,0,0.15,0.37327820371525383,0,0.9851624938416641,0,Group 4 (Both Valid/Normal)
TRN-0734,Invalid,1,Valid,0,0.18,0.4210881038083946,0,1.1667579318958672,0,Group 4 (Both Valid/Normal)
TRN-0718,Invalid,1,Valid,0,0.21,0.5995444826390931,1,2.368254545274831,1,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0389,Valid,0,Valid,0,0.1,0.40720939371448817,0,1.0503436578370535,0,Group 4 (Both Valid/Normal)
TRN-0680,Valid,0,Valid,0,0.04,0.38189155583749845,0,1.0001586721544147,0,Group 4 (Both Valid/Normal)
TRN-0709,Valid,0,Valid,0,0.35,0.5009364753899007,1,1.2258680478636568,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0406,Invalid,1,Valid,0,0.45,0.4265348984660602,0,1.3461744440784322,0,Group 4 (Both Valid/Normal)
TRN-0496,Valid,0,Valid,0,0.08,0.4115587494589586,0,1.046239128856437,0,Group 4 (Both Valid/Normal)
TRN-0500,Valid,0,Valid,0,0.01,0.38720001464291115,0,1.0068842618981968,0,Group 4 (Both Valid/Normal)
TRN-0238,Valid,0,Valid,0,0.03,0.4079506892262098,0,1.0120529237930929,0,Group 4 (Both Valid/Normal)
TRN-0494,Valid,0,Valid,0,0.12,0.3837850050799643,0,0.9859069896629282,0,Group 4 (Both Valid/Normal)
TRN-0597,Valid,0,Valid,0,0.01,0.40468036248468175,0,0.9714067439636935,0,Group 4 (Both Valid/Normal)
TRN-0749,Valid,0,Valid,0,0.04,0.36643162183271744,0,0.9725121969678142,0,Group 4 (Both Valid/Normal)
TRN-0973,Valid,0,Valid,0,0.07,0.38694426474907107,0,1.0014142567912498,0,Group 4 (Both Valid/Normal)
TRN-0995,Valid,0,Valid,0,0.19,0.5997460870254705,1,0.9874233353574329,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0420,Valid,0,Valid,0,0.14,0.3996460153235058,0,1.0200897396184136,0,Group 4 (Both Valid/Normal)
TRN-0621,Valid,0,Valid,0,0.15,0.4300968774075628,0,1.0271177144079222,0,Group 4 (Both Valid/Normal)
TRN-0128,Valid,0,Valid,0,0.22,0.42674276129160604,0,0.9736997899117792,0,Group 4 (Both Valid/Normal)
TRN-0436,Valid,0,Valid,0,0.17,0.45907312572241127,0,1.1403308320678023,0,Group 4 (Both Valid/Normal)
TRN-0733,Valid,0,Valid,0,0.01,0.4112513036316236,0,0.9949398386362992,0,Group 4 (Both Valid/Normal)
TRN-0451,Valid,0,Valid,0,0.01,0.41483578770858764,0,1.0522021663684291,0,Group 4 (Both Valid/Normal)
TRN-0061,Valid,0,Valid,0,0.12,0.41154836845042175,0,0.9910610111850693,0,Group 4 (Both Valid/Normal)
TRN-0051,Valid,0,Valid,0,0.18,0.5110138762591918,1,1.1463928580620761,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0093,Valid,0,Valid,0,0.33,0.39894751247314053,0,1.0569491980988222,0,Group 4 (Both Valid/Normal)
TRN-0457,Valid,0,Valid,0,0.06,0.3924527659715932,0,1.0131682082444893,0,Group 4 (Both Valid/Normal)
TRN-0939,Valid,0,Valid,0,0.08,0.37286538206503006,0,0.9725417982954958,0,Group 4 (Both Valid/Normal)
TRN-0872,Invalid,1,Invalid,1,0.62,0.6011653187169318,1,1.910041458268518,1,Group 1 (Both Invalid/Anomalous)
TRN-0652,Invalid,1,Invalid,1,0.58,0.6323339622676535,1,10.682891935132421,1,Group 1 (Both Invalid/Anomalous)
TRN-0084,Valid,0,Valid,0,0.04,0.4108198820514477,0,1.0307463727023087,0,Group 4 (Both Valid/Normal)
TRN-0461,Valid,0,Valid,0,0.09,0.40902301334411767,0,1.0079794449337651,0,Group 4 (Both Valid/Normal)
TRN-0615,Valid,0,Valid,0,0.04,0.38409779840612057,0,0.9536371010319369,0,Group 4 (Both Valid/Normal)
TRN-0828,Valid,0,Valid,0,0.29,0.6010261671356243,1,1.0232282048575476,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0082,Valid,0,Valid,0,0.06,0.3823620944906733,0,0.982093048032653,0,Group 4 (Both Valid/Normal)
TRN-0969,Valid,0,Valid,0,0.33,0.613178060275066,1,1.004723272327191,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0675,Valid,0,Valid,0,0.01,0.4023415004361756,0,0.9919185994450601,0,Group 4 (Both Valid/Normal)
TRN-0458,Invalid,1,Invalid,1,0.79,0.4181332935741756,0,1.2969995610930347,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0190,Valid,0,Valid,0,0.04,0.46453380742284167,0,1.1747450257685395,0,Group 4 (Both Valid/Normal)
TRN-0202,Invalid,1,Invalid,1,0.58,0.5025372348621456,1,2.0969866657115412,1,Group 1 (Both Invalid/Anomalous)
TRN-0068,Valid,0,Valid,0,0.07,0.41304302096667833,0,1.066863030101799,0,Group 4 (Both Valid/Normal)
TRN-0214,Valid,0,Valid,0,0.16,0.41764188964399085,0,1.0661361260482844,0,Group 4 (Both Valid/Normal)
TRN-0477,Valid,0,Valid,0,0.05,0.41086482538874514,0,1.0080445404872473,0,Group 4 (Both Valid/Normal)
TRN-0394,Valid,0,Valid,0,0.08,0.40718821647357756,0,1.024780746808831,0,Group 4 (Both Valid/Normal)
TRN-0530,Valid,0,Valid,0,0.17,0.4022606646901568,0,1.0048650746499268,0,Group 4 (Both Valid/Normal)
TRN-0037,Valid,0,Valid,0,0.37,0.4216205022085087,0,1.0914742457607198,0,Group 4 (Both Valid/Normal)
TRN-0267,Invalid,1,Invalid,1,1.0,0.5021828931306913,1,0.9895013747690647,0,Group 1 (Both Invalid/Anomalous)
TRN-0440,Valid,0,Valid,0,0.06,0.42385756199359514,0,1.0894043676515284,0,Group 4 (Both Valid/Normal)
TRN-0697,Valid,0,Valid,0,0.03,0.38044664175097465,0,0.9709173559623091,0,Group 4 (Both Valid/Normal)
TRN-0974,Valid,0,Valid,0,0.1,0.38157454904987564,0,0.9858637004340212,0,Group 4 (Both Valid/Normal)
TRN-0869,Valid,0,Valid,0,0.05,0.4007364762236069,0,0.9823392351440454,0,Group 4 (Both Valid/Normal)
TRN-0025,Invalid,1,Valid,0,0.28,0.44121901508002387,0,1.1065025221915996,0,Group 4 (Both Valid/Normal)
TRN-0523,Invalid,1,Invalid,1,0.58,0.49260125128780463,0,2.2976123653889706,1,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0172,Valid,0,Valid,0,0.03,0.3919019909383017,0,0.9805705392512648,0,Group 4 (Both Valid/Normal)
TRN-0723,Valid,0,Valid,0,0.04,0.3923662366403156,0,0.9842584087746774,0,Group 4 (Both Valid/Normal)
TRN-0041,Valid,0,Valid,0,0.02,0.3903824702386551,0,0.9912021742894306,0,Group 4 (Both Valid/Normal)
TRN-0958,Valid,0,Valid,0,0.07,0.38848347674739486,0,1.012635573490555,0,Group 4 (Both Valid/Normal)
TRN-0364,Valid,0,Valid,0,0.01,0.41321593678947915,0,1.0126961612719625,0,Group 4 (Both Valid/Normal)
